timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,application,bytes_sent,bytes_received,bytes,duration,user_id,device_id,country,session_id,threat_type,rule_name,src_mac,firewall_policy_name,segment_name,reason
2025-07-14 08:52:17,192.168.95.112,56.235.93.101,53059,443,TCP,ALLOW,HTTP,2798,26890,29688,480,user_1,8a0ab134-093b-49ca-b2f5-ac76b0a9e130,UK,76309621-7628-4c88-886c-0c723821e5fb,None,BlockFTP,5a:31:3e:c7:74:26,DefaultPolicy,External,PolicyEnforcement
2025-07-14 08:56:17,172.24.46.7,55.8.106.150,56466,443,ICMP,ALLOW,HTTPS,2120,3169,5289,865,user_1,af9cdd80-0bde-443d-ad4e-d7028af65364,IN,76309621-7628-4c88-886c-0c723821e5fb,None,BlockSSH,0f:92:1c:f6:87:7f,IoTPolicy,External,UserRequest
2025-07-14 09:00:17,172.24.123.201,192.210.226.227,80,22266,HTTPS,ALLOW,HTTP,2537,7970,10507,335,user_1,4c5909e4-442f-4db3-81b2-3ad558a102d2,IN,76309621-7628-4c88-886c-0c723821e5fb,None,AllowDNS,8e:64:51:d4:73:d1,IoTPolicy,DMZ,PolicyEnforcement
2025-07-14 23:12:45,144.165.212.98,28.45.244.23,80,443,HTTPS,ALLOW,NonPublicAPI,217878,230292,448170,408,user_1,a2aa9839-eedc-4224-a57f-5927851fc490,IN,76309621-7628-4c88-886c-0c723821e5fb,None,CustomRule1,83:a6:23:9b:96:a8,VPNPolicy,External,ThreatDetected
2025-07-14 08:45:59,10.124.171.240,109.22.90.223,443,53,ICMP,ALLOW,HTTPS,2880,9755,12635,238,user_1,fa46f24a-0385-440c-8ebf-2751067d9352,UK,58f28fe7-1bb8-4cb3-b241-2165c7860f61,None,CustomRule2,5f:af:6e:72:7d:e2,CorpPolicy,Remote,ScheduledScan
2025-07-14 08:48:59,10.199.133.152,179.229.188.7,28963,15907,TCP,ALLOW,FTP,9196,1334,10530,66,user_1,68f600df-dd45-4b7a-ad39-96a163d21aa2,US,58f28fe7-1bb8-4cb3-b241-2165c7860f61,None,AllowDNS,21:ba:46:fa:9b:3f,DefaultPolicy,Internal,ScheduledScan
2025-07-14 09:20:04,169.75.50.110,88.54.162.117,25,22988,HTTPS,ALLOW,NonPublicAPI,194517,178990,373507,137,user_1,368f486e-bfda-4281-82bf-7469f18e0345,AU,58f28fe7-1bb8-4cb3-b241-2165c7860f61,BruteForce,CustomRule1,5c:b3:00:8f:a1:9e,VPNPolicy,External,ThreatDetected
2025-07-14 08:51:59,172.24.125.110,40.167.9.46,22,31946,HTTPS,ALLOW,HTTP,2062,1614,3676,468,user_1,580f819b-a527-4f52-ac5c-22dc6249f427,FR,58f28fe7-1bb8-4cb3-b241-2165c7860f61,None,CustomRule2,5a:fe:0d:12:a7:f9,VPNPolicy,Cloud,UserRequest
2025-07-14 12:08:50,192.168.92.171,57.153.124.188,443,443,TCP,ALLOW,HTTPS,803,3227,4030,21,user_1,c4777303-8941-4db1-88bc-f41b9bb41410,DE,e674145a-48da-4dae-a0f5-bd3fe6d08a31,None,AllowDNS,9f:2c:2a:d0:f7:0a,IoTPolicy,Cloud,Unknown
2025-07-14 09:00:30,162.160.174.215,108.194.68.112,26273,12223,UDP,ALLOW,NonPublicAPI,237746,205029,442775,198,user_1,94adf9d0-fc9c-44fe-92e8-d8f3412cec24,AU,e674145a-48da-4dae-a0f5-bd3fe6d08a31,BruteForce,CustomRule1,65:4a:f7:7a:86:68,VPNPolicy,External,ThreatDetected
