whoip_id,user_id,session_id,timestamp,ip_address,organization,asn,action,application
939be4a6-8a52-4056-afab-9b0554d456a1,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 08:52:17,210.78.67.186,OrgC,AS54708,ALLOW,FTP
83f9ca26-d6e2-4915-8fde-04c8d30f2e65,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 08:53:17,47.197.59.142,OrgC,AS90122,ALLOW,DNS
1a835e6b-581d-4c50-a347-9c1096ba9649,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 09:00:17,154.36.0.37,OrgA,AS53549,ALLOW,HTTP
48f289f4-9399-4970-88db-7a4b603fb487,user_1,76309621-7628-4c88-886c-0c723821e5fb,2025-07-14 14:39:20,160.77.78.144,MaliciousOrg,AS99999,DENY,WHOIS
d89eaa1e-2a97-44df-803c-a6da3c99f4e7,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 08:45:59,223.156.118.228,OrgC,AS87529,ALLOW,HTTP
7bfef108-e4b7-4edf-bcee-1b9923dc3e56,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 08:48:59,20.227.150.12,OrgB,AS14820,ALLOW,FTP
10677386-2da4-4012-ab94-2bc182633de4,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 17:05:57,201.129.207.133,MaliciousOrg,AS99999,DENY,WHOIS
414aba5d-b3bd-405c-a1b1-fe1bb1199fd1,user_1,58f28fe7-1bb8-4cb3-b241-2165c7860f61,2025-07-14 08:54:59,154.241.74.40,OrgC,AS55569,ALLOW,DNS
afcf066a-0dd7-4812-af55-f989eaf3a0d3,user_1,e674145a-48da-4dae-a0f5-bd3fe6d08a31,2025-07-14 12:08:50,163.101.73.89,OrgA,AS71548,ALLOW,DNS
c63d5767-9761-4648-846f-ad510085a87d,user_1,e674145a-48da-4dae-a0f5-bd3fe6d08a31,2025-07-14 02:25:59,81.252.23.199,MaliciousOrg,AS99999,DENY,WHOIS
